cell,cell_life,minimum_dQ_60_10,variance_dQ_60_10,skewness_dQ_60_10,kurtosis_dQ_60_10,mean_dQ_60_10,Slope_Cap_Fade_2_60,Intercept_Cap_Fade_2_60,Slope_Cap_Fade_51_60,Intercept_Cap_Fade_51_60,Discharge_Cap_2,Discharge_Cap_60,Diff_MaxCap_DC2,Avg_charge_time,Temp_Integ_2_60,Min_IR,Diff_IR_2_60
b1c31,876.000000,-1.643832,-4.268715,-0.448820,0.068984,-2.021992,-0.000002,1.097775,-0.000057,1.100637,1.094639,1.097065,0.003694,10.113673,18157.845961,0.016684,-0.000081
b1c32,731.000000,-1.579437,-4.133760,-0.388708,0.067694,-1.965258,0.000015,1.080586,-0.000062,1.084666,1.077837,1.080797,0.003820,10.096438,19778.901812,0.015933,-0.000059
b1c33,757.000000,-1.581796,-4.157511,-0.715800,0.055655,-1.943734,0.000011,1.095729,-0.000104,1.102003,1.092491,1.095548,0.004335,10.146429,20106.352982,0.016215,-0.000066
b1c34,742.000000,-1.665157,-4.354552,-0.360297,-0.033616,-2.078089,0.000030,1.079276,-0.000185,1.091018,1.076617,1.079170,0.004865,11.067937,21248.593513,0.016568,-0.000095
b1c35,703.000000,-1.632639,-4.260959,-0.564802,0.068578,-1.996055,0.000033,1.073537,-0.000182,1.085284,1.070746,1.073627,0.005079,11.051195,20906.477767,0.016648,-0.000056
b1c36,704.000000,-1.583846,-4.141736,-0.547172,0.100664,-1.948233,0.000022,1.080875,-0.000092,1.087004,1.077832,1.081597,0.004528,11.524843,21839.768845,0.016230,-0.000028
b1c37,648.000000,-1.593232,-4.158285,-0.286012,0.057105,-2.003583,0.000023,1.077668,-0.000114,1.085083,1.074819,1.078326,0.004472,11.574392,22481.479470,0.016318,-0.000049
b1c38,617.000000,-1.487450,-3.931894,-0.564398,0.113150,-1.853503,0.000015,1.075640,-0.000050,1.078958,1.072951,1.075912,0.003647,10.243067,20314.021507,0.016067,-0.000018
b1c39,625.000000,-1.502286,-3.991196,-0.392226,0.072812,-1.892620,0.000028,1.085001,-0.000027,1.087671,1.081777,1.085945,0.004689,10.258443,20226.373997,0.016520,-0.000020
b1c40,966.000000,-1.762194,-4.537590,-0.288637,0.045561,-2.190948,0.000022,1.086530,-0.000072,1.091424,1.083303,1.087224,0.004503,12.071223,23867.984234,0.016481,-0.000091
b1c41,1051.000000,-1.780769,-4.577793,-0.307157,0.036770,-2.213717,0.000029,1.082106,-0.000067,1.087221,1.078961,1.083287,0.004907,12.087368,23591.351638,0.016552,-0.000106
b1c42,702.000000,-1.586621,-4.155091,-0.472429,0.092124,-1.962727,0.000029,1.083046,-0.000055,1.087544,1.079873,1.084260,0.004960,11.171094,22125.248394,0.016511,-0.000029
b1c43,651.000000,-1.565181,-4.114775,-0.313994,0.053702,-1.981874,-0.000000,1.071119,-0.000098,1.076384,1.068239,1.070550,0.003432,11.170874,21974.100021,0.015904,0.000042
b1c44,616.000000,-1.458314,-3.898482,-0.876952,0.102484,-1.806770,-0.000010,1.087930,-0.000096,1.092544,1.084768,1.086659,0.003562,10.271104,19681.130379,0.017143,0.000020
b1c45,599.000000,-1.447222,-3.887600,-0.882539,0.106505,-1.807793,0.000019,1.086984,-0.000084,1.092534,1.083956,1.087331,0.004482,10.254465,19944.602612,0.016383,0.000026
b2c0,300.000000,-1.116870,-3.232360,-1.051685,0.054365,-1.437490,-0.000223,1.075353,-0.000244,1.075409,1.070054,1.060729,0.003530,10.244165,18190.309546,0.016424,-0.000620
b2c1,148.000000,-1.110077,-3.295349,-0.282119,-0.300295,-1.418069,-0.000885,1.078746,-0.001202,1.093907,1.072070,1.021128,0.001546,10.327657,20053.828703,0.016272,-0.000478
b2c2,438.000000,-1.451523,-3.859844,-0.231266,-0.010276,-1.870118,0.000039,1.077282,-0.000020,1.079813,1.073539,1.078550,0.006428,10.075615,19381.104777,0.017210,-0.000284
b2c3,335.000000,-1.258159,-3.469234,-0.714846,0.092559,-1.545488,-0.000144,1.070200,-0.000282,1.076928,1.066851,1.059918,0.002059,10.135263,20105.412413,0.015853,-0.000636
b2c4,444.000000,-1.418353,-3.812566,-0.618906,0.043949,-1.771211,-0.000059,1.076025,-0.000164,1.081223,1.072897,1.071412,0.002750,10.124655,19618.405979,0.016041,-0.000788
b2c5,480.000000,-1.516427,-3.994636,-0.316823,0.033461,-1.916895,0.000038,1.070975,-0.000048,1.075180,1.068015,1.072287,0.005005,10.162866,19150.298870,0.016727,-0.000317
b2c6,511.000000,-1.406697,-3.800291,-0.579793,0.041732,-1.698326,-0.000143,1.073714,-0.000248,1.078614,1.068739,1.063573,0.003792,10.194623,19692.324646,0.015677,-0.001037
b2c10,561.000000,-1.507779,-4.015632,-0.628653,0.037442,-1.880559,-0.000007,1.073150,-0.000107,1.077976,1.069052,1.071593,0.004890,10.114951,19846.822751,0.017674,-0.000523
b2c11,477.000000,-1.492364,-3.956598,-0.641654,0.076994,-1.846765,0.000006,1.075018,-0.000081,1.079254,1.071705,1.074282,0.004224,10.107076,19791.496001,0.017082,-0.000370
b2c12,458.000000,-1.433917,-3.840983,-0.993635,0.081362,-1.744934,-0.000093,1.075015,-0.000209,1.080664,1.071276,1.068301,0.002971,10.172639,20059.784294,0.016228,-0.000839
b2c13,483.000000,-1.368433,-3.703771,-0.562633,0.051529,-1.717752,-0.000072,1.083828,-0.000164,1.088288,1.080285,1.078514,0.002932,10.230924,20100.032734,0.016480,-0.000538
b2c14,485.000000,-1.546759,-4.024497,-0.446155,0.108070,-1.918986,0.000032,1.081298,-0.000029,1.084221,1.078068,1.082450,0.004815,10.114209,19619.484406,0.016895,-0.000128
b2c17,494.000000,-1.381746,-3.897559,-0.082710,-0.384653,-1.916798,0.000098,1.071457,-0.000046,1.078367,1.065647,1.075845,0.011065,10.161191,18756.804008,0.017056,-0.000365
b2c18,487.000000,-1.473988,-3.983453,-0.647094,-0.035705,-1.843111,-0.000034,1.066987,-0.000082,1.068969,1.063838,1.063871,0.003771,10.185974,19728.995960,0.016775,-0.000380
b2c19,461.000000,-1.388418,-3.732456,-0.603416,0.051990,-1.736003,-0.000151,1.050536,-0.000236,1.054807,1.048037,1.040666,0.001642,10.333377,19783.129809,0.016435,-0.001020
b2c20,502.000000,-1.530012,-4.053560,-0.481490,0.047016,-1.912220,0.000043,1.086931,-0.000054,1.091610,1.083104,1.088396,0.006390,10.147933,19498.771993,0.017117,-0.000031
b2c21,489.000000,-1.461958,-3.888500,-0.866307,0.123361,-1.805831,0.000003,1.080884,-0.000120,1.086963,1.076880,1.079845,0.005137,10.121576,19451.511456,0.017223,-0.000212
b2c22,513.000000,-1.522794,-4.010884,-0.393421,0.069573,-1.911423,0.000035,1.083445,-0.000061,1.088110,1.079723,1.084526,0.005647,10.147472,19126.560925,0.016941,-0.000319
b2c23,527.000000,-1.532815,-4.064727,-1.151306,0.056351,-1.854339,-0.000035,1.078039,-0.000102,1.081287,1.074521,1.075295,0.003560,10.250747,19568.311778,0.016983,-0.000841
b2c24,495.000000,-1.395410,-3.801503,-0.094261,-0.223039,-1.883971,0.000042,1.070882,-0.000060,1.075859,1.067968,1.072399,0.005458,10.058893,17851.214364,0.016778,-0.000375
b2c25,461.000000,-1.440048,-3.843429,-0.378409,0.047237,-1.832450,0.000016,1.070853,-0.000047,1.073709,1.067267,1.070846,0.004897,10.041987,17856.010077,0.016964,-0.000548
b2c26,471.000000,-1.461443,-3.869336,-0.537994,0.117884,-1.832510,0.000015,1.081150,-0.000074,1.085388,1.076641,1.081090,0.005885,10.008232,18723.208921,0.017388,-0.000493
b2c27,468.000000,-1.529500,-4.019034,-0.329476,0.047350,-1.933285,0.000045,1.069392,0.000007,1.070923,1.065841,1.071264,0.005946,10.147409,19106.596075,0.017141,-0.000311
b2c28,509.000000,-1.545405,-4.079352,-0.479747,0.112709,-1.931608,0.000047,1.075286,-0.000030,1.078880,1.071550,1.077130,0.006313,10.139686,19735.495833,0.016877,0.000044
b2c29,498.000000,-1.674891,-4.302552,-0.258503,0.077913,-2.113803,0.000075,1.075429,0.000002,1.078822,1.072504,1.079017,0.006644,10.114581,19978.168036,0.016838,-0.000051
b2c30,481.000000,-1.587734,-4.118362,-0.270915,0.048921,-2.009526,0.000055,1.070473,-0.000027,1.074276,1.067280,1.072911,0.005878,10.097334,19377.613260,0.017394,-0.000295
b2c31,492.000000,-1.579843,-4.118353,-0.491334,0.119187,-1.959109,0.000054,1.077443,-0.000017,1.080690,1.073279,1.079837,0.006846,10.146884,19000.812429,0.017417,-0.000064
b2c32,519.000000,-1.457368,-3.997782,-0.307580,0.033383,-1.919773,0.000053,1.077833,-0.000011,1.080751,1.074267,1.080124,0.006660,10.130439,19830.768454,0.017274,0.000160
b2c33,520.000000,-1.632366,-4.255421,-0.464672,0.064922,-2.028999,0.000054,1.082609,-0.000008,1.085475,1.079052,1.085090,0.006315,10.129248,19654.065188,0.017406,0.000019
b2c34,499.000000,-1.590507,-4.134354,-0.437615,0.116549,-1.990437,0.000055,1.072687,-0.000048,1.077770,1.068851,1.075088,0.006853,10.164115,19993.159695,0.017337,0.000080
b2c35,463.000000,-1.518388,-3.976050,-0.443960,0.128275,-1.914813,0.000047,1.072062,-0.000047,1.076592,1.068722,1.073824,0.005767,10.130293,20061.596271,0.016970,-0.000297
b2c36,535.000000,-1.537170,-4.026276,-0.212081,0.048768,-1.984284,0.000070,1.082703,-0.000020,1.086936,1.079731,1.085707,0.006339,10.147722,19941.118107,0.020022,0.000039
b2c37,478.000000,-1.526245,-3.985615,-0.394935,0.106026,-1.923012,0.000075,1.077818,-0.000002,1.081512,1.074817,1.081425,0.006726,10.114688,19090.384842,0.017982,-0.000039
b2c38,465.000000,-1.539615,-4.033852,-0.671518,0.139243,-1.903461,0.000054,1.073077,-0.000013,1.076271,1.069950,1.075523,0.005799,10.148493,19196.698300,0.017577,-0.000053
b2c39,459.000000,-1.551974,-4.071776,-0.711738,0.124739,-1.915948,0.000079,1.083008,-0.000001,1.086731,1.078461,1.086715,0.008405,10.144479,19178.646851,0.017882,-0.000083
b2c40,499.000000,-1.489465,-4.160590,-0.701868,0.087544,-1.952680,0.000034,1.081004,-0.000060,1.085508,1.076552,1.082051,0.006568,10.131583,19873.352662,0.016982,-0.000386
b2c41,429.000000,-1.426285,-4.020843,-0.273159,-0.031929,-1.945812,0.000065,1.072578,-0.000011,1.076043,1.068205,1.075206,0.007904,10.128036,19732.857920,0.017491,0.000080
b2c42,466.000000,-1.551795,-4.107463,-0.597827,0.063796,-1.933010,0.000049,1.081506,-0.000043,1.086002,1.078024,1.083548,0.006087,10.130454,19756.336641,0.016998,-0.000160
b2c43,462.000000,-1.482350,-3.922970,-0.695718,0.132145,-1.847159,0.000058,1.077757,-0.000032,1.081987,1.073565,1.080056,0.007075,10.129174,19675.185618,0.017880,0.000135
b2c44,457.000000,-1.480945,-3.912180,-0.561391,0.132418,-1.856366,0.000060,1.074188,-0.000033,1.078748,1.070887,1.076853,0.006300,10.146905,19706.933708,0.017409,0.000157
b2c45,487.000000,-1.560367,-4.092297,-0.511680,0.095198,-1.935196,0.000033,1.073774,-0.000061,1.078421,1.070473,1.074839,0.005186,10.097114,19489.333709,0.016838,-0.000140
b2c46,429.000000,-1.463775,-3.856217,-0.747532,0.152674,-1.811738,0.000070,1.076548,-0.000015,1.080584,1.072614,1.079750,0.007228,10.146917,19275.687647,0.017552,0.000123
b2c47,713.000000,-1.795894,-4.521088,-0.428193,-0.004316,-2.297751,0.000048,1.047863,-0.000039,1.051693,1.042137,1.049412,0.008113,10.112717,19350.434933,0.017125,-0.000799
b3c0,1009.000000,-1.967977,-4.825305,-1.140518,-1.882339,-2.451401,0.000023,1.069921,-0.000029,1.072328,1.067455,1.070692,0.003916,10.044531,19054.463451,0.015180,-0.000194
b3c1,1063.000000,-2.008836,-4.864002,-0.663556,-0.454437,-2.518511,0.000007,1.067901,-0.000049,1.070614,1.065060,1.067706,0.003680,10.041139,20591.706291,0.014932,-0.000221
b3c3,1115.000000,-1.887891,-4.742908,-0.262770,-0.240681,-2.372759,0.000009,1.064728,-0.000036,1.066861,1.062889,1.064724,0.002645,10.042065,21344.157495,0.014885,-0.000021
b3c4,1048.000000,-1.947739,-4.809198,-0.267229,-0.157368,-2.435710,0.000017,1.074228,-0.000022,1.076050,1.072477,1.074846,0.002788,10.045031,19017.063381,0.015085,-0.000145
b3c5,828.000000,-1.959559,-4.730013,-0.525957,-1.047421,-2.433859,0.000005,1.053429,-0.000045,1.055941,1.051451,1.053231,0.002605,10.041910,21008.826100,0.015131,-0.000232
b3c6,667.000000,-1.589013,-4.128148,-0.284188,-0.046924,-1.887203,-0.000204,1.064120,-0.000206,1.064252,1.062612,1.052005,0.000459,10.062472,20264.332690,0.013527,0.000216
b3c7,1836.000000,-2.133770,-5.094795,-0.604405,0.025817,-2.722716,0.000015,1.069815,0.000048,1.067629,1.067522,1.070439,0.003397,11.041577,21354.873996,0.015373,-0.000131
b3c8,828.000000,-1.902252,-4.773688,-0.300842,-0.003969,-2.350561,0.000028,1.067349,-0.000017,1.069471,1.064736,1.068430,0.003978,10.044950,19562.427424,0.015203,-0.000212
b3c9,1039.000000,-1.832947,-4.619785,-0.607961,0.103526,-2.186379,0.000023,1.072224,-0.000028,1.074712,1.069483,1.072939,0.003888,10.041749,19585.986971,0.015742,-0.000121
b3c10,1078.000000,-2.074759,-5.027640,-0.646220,-0.604563,-2.555676,0.000022,1.063862,-0.000043,1.067090,1.061775,1.064755,0.003226,11.045003,21174.531342,0.015319,-0.000196
b3c11,817.000000,-1.788740,-4.537915,-0.492704,0.053301,-2.150070,0.000005,1.070106,-0.000030,1.071763,1.068068,1.069982,0.002693,10.042218,20233.194883,0.015485,-0.000097
b3c12,932.000000,-1.793141,-4.573318,-0.632231,0.051076,-2.162310,0.000013,1.076165,-0.000027,1.078053,1.074165,1.076422,0.002778,10.042492,19661.952787,0.015998,-0.000117
b3c13,816.000000,-1.889507,-4.748132,-0.231293,-0.138745,-2.386556,0.000018,1.068518,-0.000001,1.069069,1.065558,1.068928,0.004087,10.042320,20186.240146,0.015074,-0.000149
b3c14,858.000000,-1.885298,-4.743863,-0.292749,0.014268,-2.317745,0.000039,1.075848,-0.000016,1.078484,1.072706,1.077487,0.005039,10.041712,19605.518509,0.015497,-0.000138
b3c15,876.000000,-1.863466,-4.681558,-0.453788,0.010142,-2.288396,0.000012,1.070499,-0.000021,1.072031,1.068419,1.070813,0.002859,10.041534,19823.186516,0.015260,-0.000136
b3c16,1638.000000,-2.296373,-4.956959,0.321088,0.743609,-3.080030,0.000018,1.063253,-0.000020,1.065052,1.061009,1.063841,0.003331,11.043366,22720.045059,0.015253,-0.000185
b3c17,1315.000000,-1.969332,-4.928776,-0.628814,-0.022476,-2.359419,0.000005,1.067045,-0.000020,1.068490,1.066451,1.067292,0.002600,10.041974,20705.569718,0.015355,-0.000112
b3c18,1146.000000,-1.993317,-4.879563,-0.638145,-0.626909,-2.472845,-0.000013,1.069929,-0.000035,1.070905,1.068024,1.068920,0.002130,10.043130,20858.495981,0.014978,-0.000110
b3c19,1155.000000,-1.930833,-4.782502,-1.167512,-0.310491,-2.349226,-0.000014,1.073825,-0.000044,1.075289,1.071925,1.072669,0.001975,10.043437,20753.485387,0.015420,-0.000113
b3c20,813.000000,-1.886744,-4.718407,-0.220994,-0.018397,-2.322586,0.000015,1.067218,-0.000027,1.069236,1.065050,1.067587,0.003061,10.043330,19588.004725,0.015207,-0.000166
b3c21,772.000000,-1.668373,-4.299229,-0.292890,-0.066500,-1.961567,-0.000146,1.069755,-0.000184,1.071692,1.067856,1.060596,0.000840,10.067868,20656.369660,0.013940,0.000154
b3c22,1002.000000,-1.869391,-4.636921,-0.938957,-0.207141,-2.286317,0.000005,1.058416,-0.000021,1.059606,1.056264,1.058340,0.002845,10.043384,20449.772868,0.015615,-0.000227
b3c24,825.000000,-1.970214,-4.840828,-0.415828,-0.294276,-2.498884,0.000038,1.049170,0.000019,1.049811,1.046273,1.050928,0.004856,10.042240,20519.273672,0.015503,-0.000237
b3c25,989.000000,-1.909646,-4.797527,-0.218093,-0.271411,-2.420686,0.000035,1.063713,0.000081,1.060677,1.061130,1.065400,0.004340,10.041598,21050.070803,0.015591,-0.000137
b3c26,1028.000000,-1.993232,-4.922866,-0.452755,-0.259929,-2.470295,0.000024,1.074470,-0.000003,1.075598,1.072019,1.075440,0.003791,10.041817,21142.757085,0.015539,-0.000134
b3c27,850.000000,-1.929065,-4.779686,-0.522061,-0.684983,-2.471208,0.000024,1.063164,-0.000010,1.064640,1.060417,1.064032,0.004036,10.045022,20894.369230,0.014869,-0.000175
b3c28,541.000000,-1.547256,-4.096948,-0.481931,-0.067488,-1.844944,-0.000177,1.054039,-0.000190,1.054495,1.051867,1.043076,0.000832,10.059142,21138.570542,0.013169,0.000294
b3c29,858.000000,-1.909971,-4.771119,-0.474018,-0.644449,-2.515484,0.000042,1.069280,0.000001,1.071034,1.066369,1.071080,0.004832,10.041688,18520.731815,0.014770,-0.000167
b3c30,935.000000,-1.899538,-4.737589,-0.213029,-0.067797,-2.375416,0.000019,1.071270,-0.000012,1.072635,1.068739,1.071914,0.003600,10.043679,19087.121735,0.015510,-0.000196
b3c31,731.000000,-1.757430,-4.497338,-0.384445,0.019765,-2.163582,0.000016,1.070585,0.000046,1.068456,1.068181,1.071106,0.003461,10.046478,20128.983846,0.015812,-0.000134
b3c33,1284.000000,-2.068986,-4.962310,-0.312940,0.151815,-2.642057,0.000010,1.062208,-0.000015,1.063298,1.060272,1.062402,0.002644,10.043301,19585.684155,0.015279,-0.000201
b3c34,1158.000000,-2.038327,-4.931449,-0.502734,-0.407660,-2.517411,-0.000001,1.063772,-0.000015,1.064270,1.061535,1.063325,0.002743,10.044185,21150.403277,0.015220,-0.000192
b3c35,1093.000000,-2.008279,-4.840799,-0.639379,-0.314613,-2.541003,-0.000002,1.065049,-0.000031,1.066402,1.063380,1.064508,0.002049,10.043149,21004.754170,0.015308,-0.000142
b3c36,923.000000,-2.023970,-4.927202,-0.671228,-0.438782,-2.540068,0.000001,1.059867,-0.000018,1.060612,1.057529,1.059463,0.003076,10.043801,21215.581269,0.015083,-0.000184
b3c38,1935.000000,-2.042989,-4.755757,0.057214,0.417752,-2.593269,0.000006,1.072033,-0.000014,1.072958,1.070147,1.072061,0.002509,10.044471,20541.921673,0.015743,-0.000189
b3c39,1156.000000,-2.173425,-4.841500,0.186884,0.618782,-3.096384,0.000027,1.050029,-0.000011,1.051620,1.047404,1.050908,0.004107,10.043833,20045.765366,0.015481,-0.000219
b3c40,796.000000,-1.956752,-4.879409,-0.147420,-0.049551,-2.441842,0.000025,1.062534,-0.000028,1.064973,1.059324,1.063273,0.004510,10.043563,20087.387118,0.015372,-0.000184
b3c41,786.000000,-1.933055,-4.752335,-0.709824,-1.284602,-2.485196,0.000038,1.053132,0.000004,1.054604,1.050522,1.054788,0.004362,10.042974,19898.235732,0.017922,-0.000252
b3c44,940.000000,-1.940121,-4.803281,-0.462673,-0.129714,-2.418084,0.000034,1.072301,-0.000007,1.074160,1.069720,1.073676,0.004185,10.043436,19735.445185,0.015517,-0.000180
b3c45,1801.000000,-2.192744,-5.124410,-0.082491,0.364367,-2.756992,0.000018,1.070982,-0.000007,1.072157,1.069549,1.071772,0.002596,11.037650,21289.176484,0.015557,-0.000158
