cell,cell_life,minimum_dQ_40_10,variance_dQ_40_10,skewness_dQ_40_10,kurtosis_dQ_40_10,mean_dQ_40_10,Slope_Cap_Fade_2_40,Intercept_Cap_Fade_2_40,Slope_Cap_Fade_31_40,Intercept_Cap_Fade_31_40,Discharge_Cap_2,Discharge_Cap_40,Diff_MaxCap_DC2,Avg_charge_time,Temp_Integ_2_40,Min_IR,Diff_IR_2_40
b1c14,880.000000,-2.077718,-5.038837,-0.214515,0.087749,-2.526596,0.000107,1.072959,0.000017,1.075847,1.070966,1.076512,0.005560,10.764334,27132.774990,0.016895,-0.000180
b1c15,719.000000,-1.993669,-4.851195,-0.073798,-0.072722,-2.571527,0.000124,1.064040,0.000024,1.067230,1.061124,1.068145,0.007033,10.797706,27118.893680,0.016688,-0.000389
b1c16,862.000000,-2.016067,-5.011360,-0.213480,0.014967,-2.464673,0.000103,1.083490,0.000021,1.086123,1.081166,1.086944,0.005789,10.113108,12755.745540,0.016635,-0.000160
b1c17,857.000000,-2.102210,-5.115427,-0.123006,-0.027525,-2.629183,0.000099,1.074371,0.000004,1.077319,1.072052,1.077467,0.005442,10.146881,12625.778316,0.016613,-0.000119
b1c18,691.000000,-1.892947,-4.735223,-0.329661,0.070448,-2.317119,-0.000048,1.070500,0.098935,-2.261083,1.066170,2.884085,0.003970,9.958174,12139.936920,0.019886,0.000000
b1c19,788.000000,-1.818469,-4.598163,-0.166353,-0.019709,-2.253519,0.000051,1.087553,0.000003,1.088888,1.085115,1.089023,0.003992,9.924738,12754.677896,0.016253,-0.000181
b1c20,534.000000,-1.634016,-4.259759,-0.559667,0.027437,-1.989221,-0.000051,1.074894,-0.000116,1.077066,1.072630,1.072389,0.003094,9.021115,11318.301378,0.015174,-0.000567
b1c21,559.000000,-1.604226,-4.200870,-0.204966,-0.044971,-2.018893,0.000003,1.084417,-0.000057,1.086459,1.082439,1.084202,0.003487,8.964706,11576.026833,0.014950,-0.000399
b1c23,1014.000000,-2.039185,-5.082373,-0.252327,0.022187,-2.459834,0.000039,1.081781,-0.000002,1.082980,1.079293,1.082923,0.003733,11.447006,14239.658851,0.016761,-0.000134
b1c24,1017.000000,-2.018425,-4.972213,-0.104665,-0.031559,-2.511716,0.000058,1.076665,-0.000048,1.080224,1.074536,1.077456,0.004204,12.147216,15766.000427,0.016498,-0.000163
b1c25,854.000000,-2.100564,-5.118027,-0.061601,-0.107568,-2.645687,0.000069,1.077296,0.000019,1.078806,1.075235,1.079524,0.004333,12.130127,16002.208183,0.016515,-0.000161
b1c26,870.000000,-1.898897,-4.735929,-0.270192,0.066105,-2.299434,0.000044,1.090054,0.000016,1.090802,1.087651,1.091474,0.003895,10.764820,13937.515170,0.016212,-0.000144
b1c27,842.000000,-1.955096,-4.863486,-0.175059,0.016603,-2.408079,0.000051,1.081264,0.000003,1.082692,1.079046,1.082750,0.003836,10.796985,14261.969712,0.016013,-0.000119
b1c28,860.000000,-1.915590,-4.856891,-0.265722,0.003434,-2.346479,0.000036,1.080112,-0.000010,1.081497,1.077748,1.081109,0.003473,11.129907,14621.330872,0.016583,-0.000112
b1c29,917.000000,-1.935775,-4.858263,-0.254536,0.017386,-2.370800,0.000050,1.081832,0.000004,1.083133,1.079454,1.083296,0.003914,11.179535,14182.013765,0.016459,-0.000133
b1c30,709.000000,-1.895322,-4.749135,-0.146256,-0.023463,-2.348167,0.000039,1.082421,0.000054,1.081547,1.079864,1.083613,0.003955,10.130180,13226.011524,0.015922,-0.000100
b1c31,876.000000,-1.895409,-4.775841,-0.226484,-0.032050,-2.334025,0.000016,1.097457,0.000001,1.097597,1.094639,1.097781,0.003694,10.113673,11979.310582,0.016801,-0.000111
b1c32,731.000000,-1.810888,-4.608567,-0.210497,-0.007704,-2.243105,0.000038,1.080189,0.000001,1.081233,1.077837,1.081256,0.003538,10.096438,13031.532725,0.016080,-0.000107
b1c33,757.000000,-1.785318,-4.579015,-0.377806,0.013489,-2.181993,0.000035,1.095318,-0.000007,1.096484,1.092491,1.096216,0.004034,10.146429,13232.687661,0.016433,-0.000149
b1c34,742.000000,-1.905027,-4.841776,-0.170367,-0.191833,-2.382814,0.000059,1.078788,-0.000018,1.081166,1.076617,1.080630,0.004068,11.067937,13989.228453,0.016785,-0.000162
b1c35,703.000000,-1.894969,-4.760998,-0.263805,0.073632,-2.311395,0.000058,1.073103,-0.000019,1.075527,1.070746,1.074963,0.004244,11.051195,13774.337857,0.016878,-0.000127
b1c36,704.000000,-1.836831,-4.683744,-0.314390,0.021603,-2.241359,0.000048,1.080426,0.000065,1.079473,1.077832,1.081910,0.004080,11.524843,14408.677307,0.016325,-0.000080
b1c37,648.000000,-1.860971,-4.719804,-0.118462,-0.096690,-2.330254,0.000049,1.077220,0.000067,1.076222,1.074819,1.078712,0.003906,11.574392,14825.998207,0.016452,-0.000097
b1c38,617.000000,-1.739048,-4.432687,-0.352669,0.082599,-2.142010,0.000044,1.075131,-0.000011,1.076778,1.072951,1.076331,0.003647,10.243067,13391.718730,0.016096,-0.000100
b1c39,625.000000,-1.749509,-4.481851,-0.218484,0.020865,-2.189558,0.000062,1.084415,0.000007,1.086048,1.081777,1.086291,0.004556,10.258443,13335.491876,0.016551,-0.000101
b1c40,966.000000,-2.036586,-5.065375,-0.182902,0.009050,-2.495950,0.000055,1.085968,-0.000002,1.087677,1.083303,1.087537,0.004392,12.071223,15751.216559,0.016571,-0.000119
b1c41,1051.000000,-2.042139,-5.088697,-0.208685,0.011134,-2.488487,0.000058,1.081614,0.000013,1.082960,1.078961,1.083399,0.004548,12.087368,15560.506439,0.016647,-0.000149
b1c42,702.000000,-1.838721,-4.707662,-0.330605,0.028972,-2.251279,0.000055,1.082603,0.000012,1.083840,1.079873,1.084309,0.004458,11.171094,14590.619431,0.016566,-0.000087
b1c43,651.000000,-1.780517,-4.600271,-0.170318,-0.065786,-2.242982,0.000022,1.070742,-0.000021,1.071963,1.068239,1.071110,0.003432,11.170874,14483.213081,0.015964,-0.000046
b1c44,616.000000,-1.677594,-4.365389,-0.482344,0.064447,-2.066320,0.000014,1.087532,-0.000025,1.088577,1.084768,1.087546,0.003562,10.271104,12969.483421,0.017293,-0.000088
b1c45,599.000000,-1.652364,-4.338951,-0.496817,0.061412,-2.060166,0.000043,1.086563,-0.000015,1.088333,1.083956,1.087696,0.003904,10.254465,13125.345349,0.016538,-0.000052
b2c0,300.000000,-1.408746,-3.789696,-1.458772,0.063732,-1.730697,-0.000142,1.073934,-0.000219,1.076152,1.070054,1.067564,0.003530,10.244165,11965.743389,0.016424,-0.000782
b2c1,148.000000,-1.551859,-4.133172,-0.004648,-0.343855,-1.815532,-0.000724,1.075907,-0.000886,1.080807,1.072070,1.045211,0.001546,10.327657,13119.296774,0.016643,-0.000702
b2c2,438.000000,-1.784716,-4.571569,-0.081120,-0.089874,-2.307573,0.000088,1.076408,0.000114,1.074965,1.073539,1.079630,0.006173,10.075615,12791.232524,0.017381,-0.000270
b2c3,335.000000,-1.533351,-4.071695,-0.970570,0.013626,-1.885505,-0.000089,1.069211,-0.000120,1.069916,1.066851,1.064920,0.002059,10.135263,13270.847249,0.015857,-0.000795
b2c4,444.000000,-1.825645,-4.657236,-0.623278,0.006420,-2.210030,-0.000016,1.075269,-0.000036,1.075534,1.072897,1.074168,0.002750,10.124655,12967.608560,0.016101,-0.000784
b2c5,480.000000,-1.901454,-4.770787,-0.170995,-0.135091,-2.407247,0.000079,1.070254,0.000048,1.070926,1.068015,1.072915,0.005005,10.162866,12667.578622,0.016743,-0.000366
b2c6,511.000000,-1.671025,-4.392448,-1.282991,-0.072053,-2.012095,-0.000079,1.072589,-0.000173,1.075357,1.068739,1.068321,0.003792,10.194623,13040.231848,0.015723,-0.000969
b2c10,561.000000,-1.770111,-4.526768,-0.275123,-0.145537,-2.240429,0.000049,1.072173,-0.000015,1.073965,1.069052,1.073299,0.004890,10.114951,13052.912679,0.017674,-0.000549
b2c11,477.000000,-1.766610,-4.543685,-0.305096,-0.018704,-2.188599,0.000047,1.074289,-0.000007,1.075837,1.071705,1.075483,0.004224,10.107076,13064.161151,0.017105,-0.000411
b2c12,458.000000,-1.726305,-4.499196,-0.882533,-0.062133,-2.102821,-0.000044,1.074146,-0.000100,1.075634,1.071276,1.071681,0.002971,10.172639,13246.703655,0.016289,-0.000821
b2c13,483.000000,-1.641593,-4.250677,-0.336868,0.022255,-2.019962,-0.000028,1.083039,-0.000071,1.084217,1.080285,1.081367,0.002932,10.230924,13269.653190,0.016515,-0.000561
b2c14,485.000000,-1.814128,-4.606351,-0.189822,-0.040373,-2.272032,0.000069,1.080657,0.000026,1.081855,1.078068,1.082812,0.004815,10.114209,12966.293041,0.016895,-0.000211
b2c17,494.000000,-1.914223,-4.813131,-0.212167,0.044410,-2.394977,0.000180,1.070027,0.000056,1.074031,1.065647,1.076349,0.010729,10.161191,12382.536687,0.017056,-0.000419
b2c18,487.000000,-1.786049,-4.579949,-0.245022,-0.147989,-2.238368,0.000012,1.066183,0.000046,1.064485,1.063838,1.066144,0.003771,10.185974,13011.975474,0.016775,-0.000439
b2c19,461.000000,-1.692537,-4.367680,-0.774108,-0.080306,-2.096115,-0.000126,1.050079,-0.000163,1.051038,1.048037,1.044539,0.001642,10.333377,13049.497775,0.016526,-0.001186
b2c20,502.000000,-1.750955,-4.354136,-0.787402,-3.158194,-2.298811,0.000095,1.086015,0.000093,1.085609,1.083104,1.089173,0.006390,10.147933,12901.152069,0.017117,-0.000265
b2c21,489.000000,-1.788514,-4.594169,-0.157964,-0.162863,-2.246133,0.000057,1.079923,-0.000007,1.081716,1.076880,1.081291,0.005137,10.121576,12874.620524,0.017223,-0.000304
b2c22,513.000000,-1.883420,-4.679437,-0.227248,0.067486,-2.311981,0.000083,1.082608,0.000037,1.083785,1.079723,1.085340,0.005647,10.147472,12646.751218,0.016941,-0.000351
b2c23,527.000000,-1.813876,-4.633120,-1.048113,0.061143,-2.157285,0.000002,1.077403,-0.000044,1.078708,1.074521,1.077032,0.003560,10.250747,12922.430850,0.017071,-0.000801
b2c24,495.000000,-2.000714,-4.888312,-0.308670,-0.144482,-2.581954,0.000082,1.070164,0.000086,1.069560,1.067968,1.073202,0.005417,10.058893,11813.480110,0.016840,-0.000365
b2c25,461.000000,-1.785660,-4.500246,-0.248318,0.044157,-2.208706,0.000062,1.070035,0.000037,1.070521,1.067267,1.071942,0.004897,10.041987,11936.483047,0.017099,-0.000490
b2c26,471.000000,-1.773440,-4.521288,-0.425494,0.089292,-2.180812,0.000071,1.080177,-0.000017,1.082907,1.076641,1.082159,0.005885,10.008232,12374.565168,0.017390,-0.000458
b2c27,468.000000,-1.821585,-4.552472,-0.195917,0.044413,-2.260009,0.000091,1.068592,0.000060,1.069307,1.065841,1.071654,0.005930,10.147409,12619.943059,0.017225,-0.000258
b2c28,509.000000,-1.912351,-4.769162,-0.299498,0.090491,-2.329879,0.000091,1.074516,0.000066,1.074872,1.071550,1.077496,0.006127,10.139686,13026.509103,0.016907,-0.000095
b2c29,498.000000,-2.014060,-4.970173,0.004810,-0.456651,-2.657052,0.000122,1.074606,0.000090,1.075349,1.072504,1.078840,0.006522,10.114581,13180.917267,0.016838,-0.000217
b2c30,481.000000,-1.889103,-4.710271,-0.149972,-0.001894,-2.376985,0.000103,1.069620,0.000049,1.071135,1.067280,1.073012,0.005842,10.097334,12808.983774,0.017421,-0.000289
b2c31,492.000000,-1.818377,-4.587333,-0.253217,0.086794,-2.257684,0.000105,1.076558,0.000047,1.078151,1.073279,1.079965,0.006846,10.146884,12550.005428,0.017417,-0.000107
b2c32,519.000000,-1.882312,-4.738185,-0.263710,0.087624,-2.324651,0.000097,1.077062,0.000075,1.077342,1.074267,1.080396,0.006548,10.130439,13088.258416,0.017274,-0.000074
b2c33,520.000000,-1.948960,-4.886713,-0.092758,-0.407869,-2.492898,0.000101,1.081787,0.000068,1.082520,1.079052,1.085187,0.006315,10.129248,12977.535104,0.017406,-0.000177
b2c34,499.000000,-1.980071,-4.993945,0.032351,-1.509858,-2.564205,0.000101,1.071882,0.000075,1.072279,1.068851,1.075539,0.006827,10.164115,13211.002083,0.017337,-0.000092
b2c35,463.000000,-1.825677,-4.658626,-0.064824,-0.330531,-2.331961,0.000097,1.071179,0.000036,1.072964,1.068722,1.074290,0.005767,10.130293,13266.387599,0.016970,-0.000427
b2c36,535.000000,-1.808887,-4.583292,0.008304,-0.375859,-2.415747,0.000130,1.081658,0.000068,1.083300,1.079731,1.085932,0.006339,10.147722,13176.824465,0.020022,-0.000120
b2c37,478.000000,-1.826994,-4.561586,-0.216566,0.077769,-2.282049,0.000117,1.077082,0.000081,1.077925,1.074817,1.081203,0.006386,10.114688,12620.126624,0.017982,-0.000147
b2c38,465.000000,-1.772626,-4.539043,-0.242448,-0.006317,-2.213582,0.000096,1.072345,0.000029,1.074385,1.069950,1.075498,0.005628,10.148493,12698.384765,0.017577,-0.000178
b2c39,459.000000,-1.809614,-4.592992,-0.321240,0.059911,-2.240752,0.000137,1.082000,0.000044,1.084774,1.078461,1.086522,0.008104,10.144479,12669.649436,0.017882,-0.000204
b2c40,499.000000,-1.837329,-4.784762,-0.163573,-0.233059,-2.352146,0.000084,1.080112,0.000052,1.080816,1.076552,1.082879,0.006568,10.131583,13114.803480,0.016982,-0.000430
b2c41,429.000000,-1.803818,-4.878275,-0.012537,-0.680925,-2.511372,0.000120,1.071611,0.000083,1.072397,1.068205,1.075730,0.007552,10.128036,13013.787299,0.017491,-0.000061
b2c42,466.000000,-1.892346,-4.853524,-0.281459,-0.066750,-2.396436,0.000092,1.080743,0.000068,1.081183,1.078024,1.084037,0.006013,10.130454,13050.470157,0.017053,-0.000254
b2c43,462.000000,-1.728459,-4.452539,-0.175794,-0.060444,-2.218001,0.000113,1.076784,0.000069,1.077858,1.073565,1.080449,0.007075,10.129174,12996.681890,0.017880,-0.000179
b2c44,457.000000,-1.816461,-4.642280,-0.085784,-0.233213,-2.320048,0.000107,1.073369,0.000060,1.074564,1.070887,1.076954,0.006161,10.146905,13027.971573,0.017409,-0.000011
b2c45,487.000000,-1.840168,-4.706357,-0.107634,-0.235445,-2.358907,0.000076,1.073020,0.000027,1.074372,1.070473,1.075355,0.005036,10.097114,12881.772554,0.016838,-0.000253
b2c46,429.000000,-1.720102,-4.448469,-0.367505,0.046797,-2.143744,0.000120,1.075671,0.000053,1.077590,1.072614,1.079646,0.007087,10.146917,12747.319997,0.017552,-0.000046
b2c47,713.000000,-2.170111,-5.226722,-0.130862,-0.466714,-2.914785,0.000123,1.046548,-0.000002,1.050209,1.042137,1.050211,0.008113,10.112717,12784.971753,0.017138,-0.000679
b3c0,1009.000000,-2.187660,-5.274724,-0.804846,-0.721584,-2.720386,0.000060,1.069276,-0.000027,1.072091,1.067455,1.071060,0.003916,10.044531,12574.378693,0.015197,-0.000157
b3c1,1063.000000,-2.246829,-5.321416,-0.684283,-0.132822,-2.819898,0.000041,1.067319,-0.000044,1.070088,1.065060,1.068380,0.003680,10.041139,13585.121300,0.014932,-0.000175
b3c3,1115.000000,-2.028446,-5.016065,-0.031715,-0.341911,-2.540968,0.000037,1.064247,-0.000026,1.066329,1.062889,1.065363,0.002645,10.042065,14097.410774,0.014885,-0.000010
b3c4,1048.000000,-2.107388,-5.146054,-0.035089,-0.207066,-2.666724,0.000041,1.073801,-0.000024,1.075955,1.072477,1.075045,0.002788,10.045031,12549.468805,0.015086,-0.000116
b3c5,828.000000,-2.163499,-5.138595,-1.231463,-0.734896,-2.657460,0.000026,1.053054,-0.000037,1.055135,1.051451,1.053704,0.002605,10.041910,13836.515446,0.015132,-0.000210
b3c6,667.000000,-1.742704,-4.455880,-0.397451,-0.061355,-2.051775,-0.000202,1.064092,-0.000235,1.065273,1.062612,1.055938,0.000459,10.062472,13381.024246,0.013527,0.000211
b3c7,1836.000000,-2.354244,-5.525501,-1.734292,-0.253226,-2.981319,0.000043,1.069334,-0.000029,1.071746,1.067522,1.070637,0.003397,11.041577,14088.208144,0.015386,-0.000110
b3c8,828.000000,-2.142473,-5.158530,-0.449961,-0.240748,-2.676520,0.000058,1.066819,-0.000008,1.068886,1.064736,1.068589,0.003978,10.044950,12906.017066,0.015214,-0.000184
b3c9,1039.000000,-1.993302,-4.946072,-0.346332,0.108693,-2.401406,0.000054,1.071698,-0.000017,1.073845,1.069483,1.073257,0.003888,10.041749,12923.944321,0.015751,-0.000136
b3c10,1078.000000,-2.303601,-5.438994,-0.933121,-1.006559,-2.817596,0.000046,1.063441,-0.000004,1.064907,1.061775,1.064950,0.003218,11.045003,13973.988016,0.015330,-0.000189
b3c11,817.000000,-1.942863,-4.851789,-0.252127,0.003141,-2.364808,0.000031,1.069672,-0.000019,1.071153,1.068068,1.070398,0.002693,10.042218,13347.732900,0.015488,-0.000103
b3c12,932.000000,-1.991001,-4.945767,-0.417952,0.072905,-2.376664,0.000039,1.075713,-0.000018,1.077505,1.074165,1.076785,0.002778,10.042492,12971.535992,0.015999,-0.000107
b3c13,816.000000,-2.120214,-5.226186,-0.109123,-0.168930,-2.650053,0.000056,1.067862,-0.000027,1.070442,1.065558,1.069370,0.004087,10.042320,13319.941215,0.015074,-0.000103
b3c14,858.000000,-2.121410,-5.199180,-0.187891,0.005821,-2.587145,0.000077,1.075205,-0.000019,1.078224,1.072706,1.077406,0.004945,10.041712,12935.404967,0.015512,-0.000102
b3c15,876.000000,-2.046053,-5.035618,-0.272554,0.036604,-2.462349,0.000037,1.070065,-0.000023,1.071973,1.068419,1.070936,0.002859,10.041534,13073.875495,0.015260,-0.000097
b3c16,1638.000000,-2.473679,-5.517330,0.265381,0.738172,-3.143859,0.000051,1.062700,-0.000027,1.065143,1.061009,1.064012,0.003331,11.043366,14993.188963,0.015285,-0.000148
b3c17,1315.000000,-2.267158,-5.393630,-0.295703,-0.404651,-2.724415,-0.000005,1.067204,-0.000005,1.067815,1.066451,1.067612,0.002600,10.041974,13678.032222,0.015355,-0.000142
b3c18,1146.000000,-2.163334,-5.274748,-0.426359,-0.167939,-2.627588,0.000008,1.069558,-0.000037,1.070985,1.068024,1.069409,0.002130,10.043130,13759.994157,0.014978,-0.000092
b3c19,1155.000000,-2.120184,-5.192346,-0.447663,-0.000472,-2.524509,0.000005,1.073495,-0.000049,1.075232,1.071925,1.073253,0.001975,10.043437,13689.827163,0.015426,-0.000101
b3c20,813.000000,-2.110505,-5.149823,-0.207585,-0.217611,-2.603306,0.000043,1.066746,-0.000025,1.068884,1.065050,1.067900,0.003061,10.043330,12923.072445,0.015207,-0.000153
b3c21,772.000000,-1.882298,-4.740236,-0.345438,-0.072951,-2.190311,-0.000127,1.069432,-0.000153,1.070195,1.067856,1.063991,0.000840,10.067868,13616.516714,0.013940,0.000151
b3c22,1002.000000,-2.099879,-5.112294,-1.097045,-0.401478,-2.545606,0.000031,1.057982,-0.000030,1.059905,1.056264,1.058605,0.002845,10.043384,13492.116069,0.015637,-0.000193
b3c24,825.000000,-2.195984,-5.278935,-0.257688,-0.198000,-2.785389,0.000070,1.048623,0.000061,1.048627,1.046273,1.051016,0.004779,10.042240,13541.203130,0.015508,-0.000221
b3c25,989.000000,-2.090323,-5.204139,-0.071287,-0.303187,-2.603141,0.000072,1.063070,0.000008,1.065073,1.061130,1.065357,0.004340,10.041598,13889.763914,0.015600,-0.000115
b3c26,1028.000000,-2.241313,-5.369866,-0.272312,-0.394319,-2.784327,0.000057,1.073909,0.000016,1.075110,1.072019,1.075623,0.003791,10.041817,13947.734678,0.015555,-0.000099
b3c27,850.000000,-2.132991,-5.226439,-0.200720,-0.350323,-2.700978,0.000056,1.062610,0.000014,1.063827,1.060417,1.064323,0.004036,10.045022,13786.910473,0.014869,-0.000160
b3c28,541.000000,-1.750526,-4.505603,-0.761536,-0.068102,-2.065132,-0.000156,1.053680,-0.000165,1.053837,1.051867,1.047106,0.000832,10.059142,13928.013163,0.013169,0.000255
b3c29,858.000000,-2.117999,-5.222167,-0.233538,-0.418033,-2.820426,0.000082,1.068591,0.000008,1.070860,1.066369,1.071201,0.004832,10.041688,12221.304270,0.014801,-0.000115
b3c30,935.000000,-2.199221,-5.328596,-0.139080,-0.096356,-2.735912,0.000050,1.070750,-0.000026,1.073159,1.068739,1.072126,0.003600,10.043679,12597.540343,0.015519,-0.000164
b3c31,731.000000,-1.950001,-4.871403,-0.230429,-0.009014,-2.370784,0.000051,1.069981,-0.000013,1.072009,1.068181,1.071453,0.003461,10.046478,13281.406440,0.015812,-0.000109
b3c33,1284.000000,-2.311788,-5.449992,-0.391580,0.199179,-2.993268,0.000034,1.061792,-0.000014,1.063326,1.060272,1.062678,0.002644,10.043301,12926.978895,0.015296,-0.000196
b3c34,1158.000000,-2.267877,-5.378253,-0.365546,-0.014383,-2.768605,0.000026,1.063312,-0.000027,1.064948,1.061535,1.063748,0.002743,10.044185,13956.449899,0.015246,-0.000151
b3c35,1093.000000,-2.235359,-5.278223,-0.811712,-0.188767,-2.825206,0.000020,1.064665,-0.000035,1.066421,1.063380,1.064937,0.002049,10.043149,13857.418749,0.015321,-0.000128
b3c36,923.000000,-2.300440,-5.430138,-0.494898,-0.010255,-2.888564,0.000034,1.059306,-0.000022,1.060961,1.057529,1.060044,0.003076,10.043801,14001.752604,0.015083,-0.000162
b3c38,1935.000000,-2.243331,-5.232792,-0.106773,0.297550,-2.819174,0.000027,1.071670,-0.000017,1.073029,1.070147,1.072266,0.002509,10.044471,13549.413442,0.015776,-0.000163
b3c39,1156.000000,-2.457342,-5.240971,0.318217,0.796844,-4.268962,0.000070,1.049279,-0.000009,1.051680,1.047404,1.051328,0.004107,10.043833,13235.925157,0.015481,-0.000219
b3c40,796.000000,-2.191461,-5.257992,-0.084100,-0.066110,-2.741905,0.000066,1.061817,-0.000023,1.064557,1.059324,1.063656,0.004510,10.043563,13244.756564,0.015395,-0.000138
b3c41,786.000000,-2.118642,-5.165946,-0.232767,-0.506355,-2.695954,0.000071,1.052556,-0.000014,1.055292,1.050522,1.054714,0.004336,10.042974,13132.037393,0.018265,-0.000241
b3c44,940.000000,-2.170736,-5.236140,-0.223684,-0.090995,-2.690604,0.000072,1.071642,0.000000,1.073826,1.069720,1.073748,0.004185,10.043436,13021.558539,0.015525,-0.000135
b3c45,1801.000000,-2.425755,-5.583360,-0.303485,0.235175,-3.045092,0.000030,1.070770,-0.000071,1.074220,1.069549,1.071962,0.002554,11.037650,14044.653085,0.015578,-0.000127
